-7|	-8|	0.75
-7|	-29|	0.25
-12|	-15|	0.16666666666666666
-12|	-7|-12	1.0
-12|	-17|-12	1.0
-12|	-13|-12	1.0
-8|	-7|	0.38461538461538464
-8|	-10|	0.07692307692307693
-8|	-9|	0.07692307692307693
-8|	-12|	0.23076923076923078
-8|	-17|-8	1.0
-24|	-8|-24	1.0
-24|	-7|-24	1.0
-10|	-8|-10	1.0
-9|	-8|	1.0
-17|	-15|	0.25
-17|	5|	0.25
-17|	-13|	0.25
-17|	-24|	0.25
4|	-17|4	1.0
-1|	-12|	0.5
-1|	-17|-1	1.0
-15|	-16|	0.5
-15|	-13|-15	1.0
-13|	0|	0.2
-13|	-12|	0.8
0|	-1|	1.0
5|	4|	1.0
-16|	0|	1.0
-29|	-24|	1.0
-7|-12	-29|	1.0
-8|-24	-7|-8.-24	1.0
-8|-10	-9|	1.0
-7|-24	-8|-7.-24	1.0
-17|4	-13|	1.0
-17|-1	5|	1.0
-17|-8	-15|	1.0
-17|-12	-24|	1.0
-13|-15	0|	1.0
-13|-12	-12|-13.-12	0.3333333333333333
-8|-7.-24	-17|-8	1.0
-7|-8.-24	-8|-7.-8.-24	1.0
-12|-13.-12	-15|	0.3333333333333333
-12|-13.-12	-7|-12	0.3333333333333333
-12|-13.-12	-17|-12	0.3333333333333333
-8|-7.-8.-24	-12|	1.0
