-7 => -9 0.375
-7 => -5 0.5
-7 => -8 0.125
-10 => -9 0.5
-10 => -7 0.5
-10 -7 => -8 1.0
-9 => -7 0.8
-9 => -11 0.2
-9 -7 => -5 1.0
-5 => -7 0.16666666666666666
-5 => -4 0.3333333333333333
-5 => -13 0.16666666666666666
-5 => -6 0.16666666666666666
-5 => -3 0.16666666666666666
-4 => -2 0.5
-4 => -5 0.25
-4 => -3 0.25
-4 -5 => -13 1.0
-2 => 0 0.3333333333333333
-2 => -4 0.6666666666666666
0 => -5 1.0
-13 => -12 0.5
-13 => -9 0.5
-12 => -13 0.5
-12 => -14 0.5
-6 => -7 1.0
-11 => -12 1.0
-14 => -2 1.0
-3 => -10 1.0
