-12 => -3 0.75
-12 => -2 0.25
-3 => 3 0.2857142857142857
-3 => -5 0.2857142857142857
-3 => -2 0.2857142857142857
-3 => 8 0.14285714285714285
3 => 4 1.0
4 => -1 0.16666666666666666
4 => 5 0.16666666666666666
4 => 10 0.3333333333333333
4 => -12 0.16666666666666666
4 => -5 0.16666666666666666
19 => 10 0.25
19 => 21 0.25
19 => 4 0.5
19 4 => 10 1.0
3 4 => -1 0.5
3 4 => -5 0.5
7 => 1 0.2857142857142857
7 => 4 0.2857142857142857
7 => 9 0.14285714285714285
7 => 16 0.2857142857142857
7 4 => 5 0.5
7 4 => -12 0.5
-1 => 7 0.4
-1 => 0 0.2
-1 => 11 0.2
-1 => -7 0.2
-13 => -1 1.0
-13 -1 => -7 1.0
-2 => -1 0.2
-2 => -3 0.6
-2 => 0 0.2
-2 -1 => 0 1.0
14 => 26 0.3333333333333333
14 => -1 0.3333333333333333
14 => 19 0.3333333333333333
14 -1 => 11 1.0
17 => 16 0.18181818181818182
17 => 9 0.09090909090909091
17 => 7 0.18181818181818182
17 => 20 0.09090909090909091
17 => 26 0.09090909090909091
17 => 29 0.2727272727272727
17 => 2 0.09090909090909091
17 7 => 16 1.0
-1 7 => 1 1.0
9 => 17 0.125
9 => 7 0.25
9 => 5 0.125
9 => 10 0.125
9 => 11 0.125
9 => 8 0.125
9 => 12 0.125
9 7 => 4 1.0
6 => 7 1.0
6 7 => 9 1.0
1 => 10 0.6666666666666666
1 => 2 0.3333333333333333
10 => 11 0.3333333333333333
10 => 9 0.3333333333333333
10 => 18 0.16666666666666666
10 => 5 0.16666666666666666
1 10 => 11 1.0
9 10 => 18 1.0
11 => 5 0.14285714285714285
11 => 17 0.2857142857142857
11 => 12 0.14285714285714285
11 => -7 0.2857142857142857
11 => 23 0.14285714285714285
10 11 => -7 0.5
10 11 => 5 0.5
5 => 11 0.2222222222222222
5 => 9 0.2222222222222222
5 => -12 0.1111111111111111
5 => 17 0.3333333333333333
5 => -10 0.1111111111111111
5 11 => 17 1.0
9 11 => 12 1.0
26 => 17 0.5
26 => 11 0.5
26 11 => 23 1.0
-7 => 5 0.6666666666666666
-7 => 17 0.3333333333333333
-7 5 => -10 0.5
-7 5 => 11 0.5
12 => 20 0.3333333333333333
12 => 5 0.6666666666666666
12 5 => 17 1.0
10 5 => 9 1.0
9 5 => -12 1.0
4 5 => 9 1.0
11 5 => 11 1.0
11 17 => 16 0.5
11 17 => 20 0.5
-7 17 => 16 1.0
9 17 => 9 1.0
20 => 21 0.5
20 => 17 0.5
20 17 => 26 1.0
5 17 => 2 0.3333333333333333
5 17 => 7 0.6666666666666666
16 => 19 0.75
16 => 14 0.25
10 9 => 7 0.5
10 9 => 17 0.5
5 9 => 8 0.5
5 9 => 5 0.5
8 => 9 1.0
8 9 => 11 0.5
8 9 => 12 0.5
7 9 => 10 1.0
-5 => -3 0.3333333333333333
-5 => 6 0.3333333333333333
-5 => -1 0.3333333333333333
-3 -2 => 0 0.5
-3 -2 => -1 0.5
0 => 2 0.6666666666666666
0 => 1 0.3333333333333333
2 => -2 0.4
2 => 0 0.2
2 => 14 0.2
2 => -13 0.2
-10 => 2 1.0
-10 2 => -13 1.0
1 2 => 0 1.0
17 2 => 14 1.0
0 2 => -2 1.0
18 => 19 1.0
21 => 22 0.5
21 => 23 0.5
22 => -12 1.0
23 => 24 0.5
23 => 5 0.5
24 => 12 1.0
29 => 17 0.6666666666666666
29 => 14 0.3333333333333333
