-7|-10	-8|	1.0
-1|-3	0|-1.-3	1.0
4|	0|	1.0
-7|-8	-5|-7	1.0
-3|	-1|-3	1.0
-3|	0|-3	1.0
0|-1.-3	-5|0	1.0
-8|-5.-1	-7|-8	1.0
-8|	-5|	0.733333333333
-8|	-7|-8	1.0
-8|-5	-7|-8	0.333333333333
-8|-5	-5|-8.-5	0.5
-5|-8.-5	-3|	0.5
-5|-8.-5	0|	0.5
-5|-7	-3|	1.0
-5|	-10|	0.142857142857
-5|	-8|-5	0.666666666667
-5|	-3|	0.285714285714
-5|	0|	0.142857142857
-10|	-7|-10	1.0
-7|	-5|-7	1.0
-7|	-8|	0.5
0|	-5|0	1.0
0|	2|	0.2
0|	-1|	0.6
-5|-1	-8|-5.-1	1.0
-5|-1	-10|	0.5
2|	4|	1.0
0|-3	2|	1.0
-5|0	-8|-5	1.0
-1|	0|	0.5
-1|	-5|-1	0.5
